Name,CL Max,AoA @ CL Max [deg.],AoA @ L0 [deg.],dCl/dAoA Slope [1/deg.],CD0 Min,CL Max / CD0 Min,CM0,CD Min,(L/D) Max,CL @ (L/D) Max
NACA 0006,0.88,13,-0.1,0.102,0.0065,135,-0.002,0.0065,23.8,0.31
NACA 0009,1.27,14,0,0.101,0.0074,172,-0.003,0.0074,22.9,0.36
NACA 0012,1.53,17,0,0.101,0.0083,184,-0.002,0.0083,22.2,0.37
NACA 0015,1.53,17,0,0.1,0.0093,164,0,0.0093,21.2,0.4
NACA 0018,1.49,17,0,0.098,0.0108,138,-0.002,0.0108,19.8,0.4
NACA 0021,1.38,17,-0.1,0.094,0.012,115,-0.001,0.012,18.5,0.44
NACA 0025,1.2,16,0,0.089,0.0143,84,-0.003,0.0143,16.5,0.47
NACA 2212,1.6,16,-1.8,0.103,0.0087,184,-0.029,0.0088,22.4,0.4
NACA 2306,1.04,11,-1.8,0.104,0.0073,142,-0.036,0.0075,23.9,0.33
NACA 2309,1.51,15,-2,0.103,0.0083,182,-0.036,0.0085,22.9,0.39
NACA 2312,1.61,16,-1.9,0.101,0.0089,181,-0.038,0.009,22.1,0.39
NACA 2315,1.54,15,-1.7,0.102,0.01,154,-0.034,0.01,20.5,0.41
NACA 2406,1.01,13,-1.7,0.103,0.007,144,-0.039,0.0074,24.9,0.32
NACA 2409,1.51,14,-1.7,0.103,0.008,189,-0.044,0.0082,23.1,0.36
NACA 2412,1.62,17,-1.8,0.101,0.0085,190,-0.044,0.0087,22.5,0.39
NACA 2415,1.55,16,-1.7,0.101,0.0099,156,-0.04,0.01,20.8,0.4
NACA 2418,1.43,15,-1.9,0.098,0.0112,128,-0.037,0.0113,19.4,0.42
NACA 2421,1.35,16,-1.7,0.097,0.0127,106,-0.036,0.0128,17.9,0.43
NACA 2506,1.03,15,-2,0.103,0.0073,141,-0.048,0.0076,24.2,0.36
NACA 2509,1.38,13,-2,0.102,0.0081,170,-0.052,0.0083,22.9,0.37
NACA 2512,1.62,17,-2.1,0.102,0.0088,184,-0.054,0.0091,22.3,0.39
NACA 2515,1.53,16,-2,0.099,0.0103,148,-0.049,0.0104,20.4,0.41
NACA 2518,1.48,16,-2,0.096,0.0112,132,-0.047,0.0113,19.1,0.42
NACA 2521,1.38,16,-1.8,0.095,0.0126,109,-0.043,0.0126,17.7,0.44
NACA 2612,1.66,17,-2.3,0.1,0.0089,187,-0.06,0.0091,22.1,0.38
NACA 2712,1.68,17,-2.6,0.1,0.009,187,-0.075,0.0093,22,0.38
NACA 4212,1.71,16,-3.4,0.102,0.0092,186,-0.059,0.01,22.1,0.4
