,Propeller,Motor,thrust_max_volt,thrust_max_power,thrust_max_amps,efficiency_max_volt,efficiency_max_power,efficiency_max_amps,current_max_volt,current_max_power,current_max_amps,Hover_time_3x_total,WeightForce,radius,pitch,Kv,Kt,Voltage,Weight
11117,apc_propellers_13_5x9,kde_direct_KDE700XF_295_G3,186.54,298.02000000000004,285.71999999999997,78.34000000000002,77.06,77.26,404.7,948.5400000000001,877.9199999999998,2544.7088009999998,65.1129913,171.45,228.6,242.48601570649714,0.0324,37.0,0.004464198474
11263,apc_propellers_13x10,kde_direct_KDE700XF_295_G3,208.14,501.66,538.02,78.56,79.37,79.22000000000001,602.0400000000001,791.1600000000001,877.9199999999998,2113.253724,65.1136398,165.1,254.0,245.64038813549314,0.0324,37.0,0.00453060405
11409,apc_propellers_13x10E,kde_direct_KDE700XF_295_G3,187.92,290.94,278.58,80.38,79.02999999999999,79.24,402.6,952.8,877.9199999999998,2723.3291010000003,65.1118698,165.1,254.0,248.79476056448917,0.0324,37.0,0.004349893793999999
11555,apc_propellers_13x11,kde_direct_KDE700XF_295_G3,216.54000000000002,335.34,241.44000000000003,79.79,79.8,79.46,751.38,976.0199999999999,877.9199999999998,2005.4148570000002,65.1134567,165.1,279.4,251.94913299348516,0.0324,37.0,0.004511825424
11701,apc_propellers_13x13N,kde_direct_KDE700XF_295_G3,182.52000000000004,229.8,209.04000000000002,81.40999999999998,79.96,80.58,637.1400000000001,1057.32,877.9199999999998,2149.431885,65.1132278,165.1,330.2,255.10350542248116,0.0324,37.0,0.004488148026
11847,apc_propellers_13x13_5N,kde_direct_KDE700XF_295_G3,187.02000000000004,232.73999999999998,209.58,82.08,80.7,81.43,699.78,1079.22,877.9199999999998,1526.900574,65.1131592,165.1,342.9,258.25787785147713,0.0324,37.0,0.004481344175999999
11993,apc_propellers_13x14,kde_direct_KDE700XF_295_G3,260.82,529.62,544.38,84.64,84.05,83.97000000000001,304.62,842.82,877.9199999999998,2559.5782470000004,65.1139908,165.1,355.6,261.4122502804732,0.0324,37.0,0.00456598407
12035,apc_propellers_13x14,t_motor_AT4120KV250,87.72,301.68,279.9,92.89,93.84000000000002,94.05,94.02,309.71999999999997,284.21999999999997,3001.0503,65.0909958,165.1,355.6,262.31967248607475,0.038197186342054885,22.200000000000003,0.0022199840699999997
12038,apc_propellers_13x14,t_motor_AT4125KV250,88.67999999999999,311.7,306.84,93.46,94.64,94.68,94.98,321.78000000000003,315.78000000000003,3001.7993699999997,65.0937042,165.1,355.6,262.3844883579035,0.038197186342054885,22.200000000000003,0.00249598407
12041,apc_propellers_13x14,t_motor_AT4130KV300,92.16,352.86,365.0400000000001,77.12,80.89,80.87,121.86,453.47999999999996,473.7,2395.552917,65.0969391,165.1,355.6,262.44930422973215,0.03183098861837907,22.200000000000003,0.0028259840699999994
12139,apc_propellers_13x4,kde_direct_KDE700XF_295_G3,160.2,541.5600000000001,661.4399999999999,83.56,86.44,86.18,114.06000000000002,652.74,877.9199999999998,4414.84716,65.1130447,165.1,101.6,264.5666227094692,0.0324,37.0,0.0044693694
12285,apc_propellers_13x4E,kde_direct_KDE700XF_295_G3,156.47999999999996,558.3,697.9199999999998,84.21,87.57,87.32,106.43999999999998,634.74,877.9199999999998,4540.66773,65.1118698,165.1,101.6,267.7209951384652,0.0324,37.0,0.004349893793999999
